entity_id,event_id,risk_score,anomaly_type,explanation,top_contributing_features
SVC-000026,EVT-0001738,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000049,EVT-0020134,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (11.75.182.178, 210.36.246.64, 9.189.215.186, 91.24.147.11) made 17 auth attempts against 17 distinct entity_ids within 30 min (14/17 = 82% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""11.75.182.178"", ""210.36.246.64"", ""9.189.215.186"", ""91.24.147.11""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 17, ""cluster_total_attempts"": 17, ""cluster_failed_attempts"": 14, ""cluster_failure_rate"": 0.824, ""window_minutes"": 30}"
USR-000087,EVT-0018130,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=f6:42:de:db:ce:db) + unusual geo_location (Rome, Italy, outside this entity's typical set) + off-hours login (hour=21, baseline probability=0.019 < 0.03) occurring together","{""device_novel_for_entity"": true, ""mac_address"": ""f6:42:de:db:ce:db"", ""geo_novel_for_entity"": true, ""geo_location"": ""Rome, Italy"", ""off_hours"": true, ""hour"": 21, ""hour_probability_in_baseline"": 0.0192, ""cluster_size_same_device_and_geo"": 1, ""cluster_window_minutes"": 15}"
USR-000111,EVT-0008662,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (219.247.18.137, 42.44.154.198, 7.65.226.136) made 32 auth attempts against 32 distinct entity_ids within 30 min (29/32 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""219.247.18.137"", ""42.44.154.198"", ""7.65.226.136""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 32, ""cluster_total_attempts"": 32, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.906, ""window_minutes"": 30}"
SVC-000053,EVT-0011745,1.0,device_spoofing,"device_spoofing: device_fingerprint changed mid-session -- os=macOS 14 Sonoma, mac=e8:89:d1:0a:04:f2 appears within 5 min of 1 event(s) using this entity's historically consistent fingerprint","{""os"": ""macOS 14 Sonoma"", ""mac_address"": ""e8:89:d1:0a:04:f2"", ""protocol"": ""VPN-IPSec"", ""os_novel_for_entity"": true, ""mac_novel_for_entity"": true, ""mid_session_change"": true, ""window_minutes"": 5, ""n_prior_events_checked"": 156}"
SVC-000020,EVT-0045998,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000009,EVT-0030767,1.0,lateral_movement,"lateral_movement: accessed 5 resources outside this entity's normal set within 20 min (device-heartbeat-service -> printer-service -> email -> hr-portal -> source-code-repo), escalating toward less common resources (global access frequency 0.102 -> 0.024)","{""novel_resource_chain"": [""device-heartbeat-service"", ""printer-service"", ""email"", ""hr-portal"", ""source-code-repo""], ""chain_length"": 5, ""lookback_minutes"": 20, ""global_frequency_first"": 0.1019, ""global_frequency_last"": 0.024}"
USR-000024,EVT-0011982,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000007,EVT-0004245,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000025,EVT-0033027,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000122,EVT-0036257,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000012,EVT-0020394,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=64:90:98:79:31:19) + unusual geo_location (Cape Town, South Africa, outside this entity's typical set) + off-hours login (hour=4, baseline probability=0.021 < 0.03) occurring together","{""device_novel_for_entity"": true, ""mac_address"": ""64:90:98:79:31:19"", ""geo_novel_for_entity"": true, ""geo_location"": ""Cape Town, South Africa"", ""off_hours"": true, ""hour"": 4, ""hour_probability_in_baseline"": 0.0213, ""cluster_size_same_device_and_geo"": 1, ""cluster_window_minutes"": 15}"
USR-000158,EVT-0020145,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (11.75.182.178, 210.36.246.64, 9.189.215.186, 91.24.147.11) made 17 auth attempts against 17 distinct entity_ids within 30 min (14/17 = 82% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""11.75.182.178"", ""210.36.246.64"", ""9.189.215.186"", ""91.24.147.11""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 17, ""cluster_total_attempts"": 17, ""cluster_failed_attempts"": 14, ""cluster_failure_rate"": 0.824, ""window_minutes"": 30}"
