entity_id,event_id,label
USR-000106,EVT-0000001,normal
SVC-000056,EVT-0000002,normal
USR-000165,EVT-0000003,normal
DEV-000011,EVT-0000004,normal
USR-000106,EVT-0000005,normal
SVC-000059,EVT-0000006,normal
SVC-000047,EVT-0000007,normal
USR-000106,EVT-0000008,normal
USR-000106,EVT-0000009,normal
DEV-000026,EVT-0000010,normal
DEV-000002,EVT-0000011,normal
SVC-000018,EVT-0000012,normal
SVC-000056,EVT-0000013,normal
DEV-000014,EVT-0000014,normal
SVC-000041,EVT-0000015,normal
DEV-000009,EVT-0000016,normal
SVC-000056,EVT-0000017,normal
USR-000106,EVT-0000018,normal
USR-000165,EVT-0000019,normal
DEV-000007,EVT-0000020,normal
SVC-000041,EVT-0000021,normal
USR-000124,EVT-0000022,normal
SVC-000041,EVT-0000023,normal
SVC-000041,EVT-0000024,normal
SVC-000041,EVT-0000025,normal
USR-000141,EVT-0000026,normal
USR-000106,EVT-0000027,normal
SVC-000018,EVT-0000028,normal
SVC-000041,EVT-0000029,normal
SVC-000018,EVT-0000030,normal
DEV-000024,EVT-0000031,normal
SVC-000018,EVT-0000032,normal
SVC-000018,EVT-0000033,normal
USR-000075,EVT-0000034,anomaly_credential_misuse
SVC-000018,EVT-0000035,normal
USR-000165,EVT-0000036,normal
SVC-000014,EVT-0000037,normal
USR-000182,EVT-0000038,normal
USR-000182,EVT-0000039,anomaly_device_spoofing
USR-000182,EVT-0000040,anomaly_device_spoofing
SVC-000018,EVT-0000041,normal
DEV-000018,EVT-0000042,normal
DEV-000021,EVT-0000043,normal
SVC-000018,EVT-0000044,normal
SVC-000041,EVT-0000045,normal
SVC-000056,EVT-0000046,normal
SVC-000041,EVT-0000047,normal
DEV-000023,EVT-0000048,normal
DEV-000003,EVT-0000049,normal
SVC-000018,EVT-0000050,normal
DEV-000003,EVT-0000051,normal
SVC-000041,EVT-0000052,normal
DEV-000011,EVT-0000053,normal
SVC-000018,EVT-0000054,normal
DEV-000016,EVT-0000055,normal
SVC-000014,EVT-0000056,normal
DEV-000020,EVT-0000057,normal
DEV-000022,EVT-0000058,normal
DEV-000010,EVT-0000059,normal
USR-000025,EVT-0000060,normal
SVC-000019,EVT-0000061,normal
DEV-000023,EVT-0000062,normal
USR-000036,EVT-0000063,normal
SVC-000015,EVT-0000064,normal
SVC-000014,EVT-0000065,normal
SVC-000014,EVT-0000066,normal
SVC-000015,EVT-0000067,normal
USR-000088,EVT-0000068,normal
SVC-000015,EVT-0000069,normal
SVC-000020,EVT-0000070,normal
DEV-000013,EVT-0000071,normal
SVC-000014,EVT-0000072,normal
SVC-000015,EVT-0000073,normal
USR-000025,EVT-0000074,normal
SVC-000014,EVT-0000075,normal
SVC-000014,EVT-0000076,normal
SVC-000007,EVT-0000077,normal
SVC-000020,EVT-0000078,normal
USR-000036,EVT-0000079,normal
USR-000157,EVT-0000080,normal
SVC-000007,EVT-0000081,normal
USR-000036,EVT-0000082,normal
SVC-000020,EVT-0000083,normal
SVC-000007,EVT-0000084,normal
DEV-000013,EVT-0000085,normal
SVC-000015,EVT-0000086,normal
DEV-000026,EVT-0000087,normal
DEV-000021,EVT-0000088,normal
SVC-000014,EVT-0000089,normal
USR-000138,EVT-0000090,normal
USR-000070,EVT-0000091,normal
USR-000096,EVT-0000092,normal
SVC-000007,EVT-0000093,normal
SVC-000007,EVT-0000094,normal
SVC-000007,EVT-0000095,normal
SVC-000007,EVT-0000096,normal
SVC-000014,EVT-0000097,normal
SVC-000015,EVT-0000098,normal
SVC-000015,EVT-0000099,normal
SVC-000019,EVT-0000100,normal
USR-000026,EVT-0000101,normal
USR-000103,EVT-0000102,normal
SVC-000007,EVT-0000103,normal
SVC-000015,EVT-0000104,normal
SVC-000015,EVT-0000105,normal
USR-000095,EVT-0000106,normal
DEV-000022,EVT-0000107,normal
SVC-000019,EVT-0000108,normal
SVC-000007,EVT-0000109,normal
SVC-000014,EVT-0000110,normal
SVC-000019,EVT-0000111,normal
SVC-000014,EVT-0000112,normal
SVC-000007,EVT-0000113,normal
SVC-000007,EVT-0000114,normal
DEV-000003,EVT-0000115,normal
DEV-000020,EVT-0000116,normal
USR-000036,EVT-0000117,normal
USR-000199,EVT-0000118,normal
SVC-000009,EVT-0000119,normal
SVC-000019,EVT-0000120,normal
DEV-000018,EVT-0000121,normal
DEV-000013,EVT-0000122,normal
SVC-000009,EVT-0000123,normal
SVC-000007,EVT-0000124,normal
DEV-000016,EVT-0000125,normal
SVC-000009,EVT-0000126,normal
SVC-000020,EVT-0000127,normal
USR-000025,EVT-0000128,normal
USR-000093,EVT-0000129,normal
SVC-000007,EVT-0000130,normal
DEV-000007,EVT-0000131,normal
DEV-000025,EVT-0000132,normal
USR-000082,EVT-0000133,normal
USR-000067,EVT-0000134,normal
SVC-000019,EVT-0000135,normal
DEV-000021,EVT-0000136,normal
DEV-000023,EVT-0000137,normal
DEV-000020,EVT-0000138,normal
SVC-000031,EVT-0000139,normal
SVC-000019,EVT-0000140,normal
DEV-000019,EVT-0000141,normal
SVC-000031,EVT-0000142,normal
SVC-000009,EVT-0000143,normal
SVC-000019,EVT-0000144,normal
USR-000036,EVT-0000145,normal
SVC-000009,EVT-0000146,normal
DEV-000014,EVT-0000147,normal
SVC-000009,EVT-0000148,normal
SVC-000009,EVT-0000149,normal
DEV-000001,EVT-0000150,normal
SVC-000009,EVT-0000151,normal
DEV-000016,EVT-0000152,normal
DEV-000020,EVT-0000153,normal
SVC-000009,EVT-0000154,normal
SVC-000009,EVT-0000155,normal
USR-000096,EVT-0000156,normal
SVC-000031,EVT-0000157,normal
SVC-000009,EVT-0000158,normal
SVC-000009,EVT-0000159,normal
SVC-000009,EVT-0000160,normal
USR-000042,EVT-0000161,normal
SVC-000055,EVT-0000162,normal
SVC-000031,EVT-0000163,normal
USR-000207,EVT-0000164,normal
SVC-000051,EVT-0000165,normal
USR-000082,EVT-0000166,normal
DEV-000018,EVT-0000167,normal
SVC-000031,EVT-0000168,normal
USR-000180,EVT-0000169,normal
SVC-000031,EVT-0000170,normal
USR-000155,EVT-0000171,normal
DEV-000018,EVT-0000172,normal
SVC-000055,EVT-0000173,normal
SVC-000055,EVT-0000174,normal
USR-000013,EVT-0000175,normal
SVC-000031,EVT-0000176,normal
SVC-000051,EVT-0000177,normal
DEV-000015,EVT-0000178,normal
USR-000206,EVT-0000179,normal
SVC-000040,EVT-0000180,normal
USR-000207,EVT-0000181,normal
DEV-000021,EVT-0000182,normal
SVC-000030,EVT-0000183,normal
SVC-000031,EVT-0000184,normal
USR-000076,EVT-0000185,normal
SVC-000055,EVT-0000186,normal
DEV-000011,EVT-0000187,normal
USR-000208,EVT-0000188,normal
USR-000157,EVT-0000189,normal
SVC-000024,EVT-0000190,normal
USR-000119,EVT-0000191,normal
SVC-000051,EVT-0000192,normal
SVC-000031,EVT-0000193,normal
SVC-000055,EVT-0000194,normal
USR-000058,EVT-0000195,normal
SVC-000040,EVT-0000196,normal
USR-000137,EVT-0000197,normal
USR-000058,EVT-0000198,normal
SVC-000039,EVT-0000199,normal
USR-000116,EVT-0000200,normal
DEV-000001,EVT-0000201,normal
USR-000155,EVT-0000202,normal
USR-000180,EVT-0000203,normal
SVC-000040,EVT-0000204,normal
USR-000063,EVT-0000205,normal
USR-000178,EVT-0000206,normal
SVC-000055,EVT-0000207,normal
USR-000167,EVT-0000208,normal
DEV-000011,EVT-0000209,normal
USR-000180,EVT-0000210,normal
USR-000047,EVT-0000211,normal
DEV-000009,EVT-0000212,normal
DEV-000012,EVT-0000213,normal
SVC-000040,EVT-0000214,normal
USR-000168,EVT-0000215,normal
USR-000026,EVT-0000216,normal
DEV-000014,EVT-0000217,normal
SVC-000031,EVT-0000218,normal
SVC-000046,EVT-0000219,normal
SVC-000040,EVT-0000220,normal
SVC-000046,EVT-0000221,normal
SVC-000011,EVT-0000222,normal
SVC-000055,EVT-0000223,normal
SVC-000011,EVT-0000224,normal
SVC-000011,EVT-0000225,normal
SVC-000011,EVT-0000226,normal
USR-000022,EVT-0000227,normal
SVC-000046,EVT-0000228,normal
USR-000070,EVT-0000229,normal
DEV-000016,EVT-0000230,normal
SVC-000031,EVT-0000231,normal
DEV-000023,EVT-0000232,normal
USR-000167,EVT-0000233,normal
DEV-000003,EVT-0000234,normal
SVC-000046,EVT-0000235,normal
USR-000042,EVT-0000236,normal
SVC-000046,EVT-0000237,normal
SVC-000046,EVT-0000238,normal
SVC-000011,EVT-0000239,normal
SVC-000053,EVT-0000240,normal
DEV-000025,EVT-0000241,normal
SVC-000024,EVT-0000242,normal
SVC-000046,EVT-0000243,normal
USR-000067,EVT-0000244,normal
DEV-000023,EVT-0000245,normal
SVC-000053,EVT-0000246,normal
SVC-000030,EVT-0000247,normal
USR-000155,EVT-0000248,normal
SVC-000046,EVT-0000249,normal
SVC-000024,EVT-0000250,normal
SVC-000011,EVT-0000251,normal
DEV-000008,EVT-0000252,normal
USR-000207,EVT-0000253,normal
DEV-000019,EVT-0000254,normal
USR-000026,EVT-0000255,normal
USR-000178,EVT-0000256,normal
USR-000172,EVT-0000257,normal
USR-000076,EVT-0000258,normal
USR-000090,EVT-0000259,normal
SVC-000051,EVT-0000260,normal
SVC-000024,EVT-0000261,normal
USR-000142,EVT-0000262,normal
SVC-000053,EVT-0000263,normal
SVC-000016,EVT-0000264,normal
SVC-000024,EVT-0000265,normal
SVC-000053,EVT-0000266,normal
SVC-000024,EVT-0000267,normal
DEV-000020,EVT-0000268,normal
SVC-000053,EVT-0000269,normal
DEV-000023,EVT-0000270,normal
SVC-000046,EVT-0000271,normal
SVC-000011,EVT-0000272,normal
SVC-000013,EVT-0000273,normal
SVC-000011,EVT-0000274,normal
DEV-000002,EVT-0000275,normal
DEV-000018,EVT-0000276,normal
USR-000167,EVT-0000277,normal
USR-000158,EVT-0000278,normal
USR-000098,EVT-0000279,normal
SVC-000030,EVT-0000280,normal
USR-000119,EVT-0000281,normal
USR-000133,EVT-0000282,normal
SVC-000024,EVT-0000283,normal
SVC-000024,EVT-0000284,normal
DEV-000012,EVT-0000285,normal
USR-000180,EVT-0000286,normal
USR-000148,EVT-0000287,normal
SVC-000013,EVT-0000288,normal
SVC-000013,EVT-0000289,normal
USR-000168,EVT-0000290,normal
USR-000132,EVT-0000291,normal
USR-000168,EVT-0000292,normal
USR-000022,EVT-0000293,normal
USR-000009,EVT-0000294,normal
USR-000148,EVT-0000295,normal
USR-000162,EVT-0000296,normal
USR-000076,EVT-0000297,normal
USR-000080,EVT-0000298,normal
DEV-000012,EVT-0000299,normal
SVC-000008,EVT-0000300,normal
SVC-000024,EVT-0000301,normal
USR-000015,EVT-0000302,normal
USR-000207,EVT-0000303,normal
DEV-000016,EVT-0000304,normal
SVC-000008,EVT-0000305,normal
USR-000207,EVT-0000306,normal
USR-000090,EVT-0000307,normal
USR-000194,EVT-0000308,normal
USR-000025,EVT-0000309,normal
USR-000111,EVT-0000310,normal
USR-000207,EVT-0000311,normal
SVC-000024,EVT-0000312,normal
SVC-000024,EVT-0000313,normal
USR-000049,EVT-0000314,normal
DEV-000010,EVT-0000315,normal
DEV-000012,EVT-0000316,normal
USR-000097,EVT-0000317,normal
SVC-000024,EVT-0000318,normal
